customer_id,active_subscription_value,failed_subscriptions,is_dc,total_subscription_value,total_committed_value,max_dpd_master,avg_dpd,avg_dpd_recent,n_payments_da,paid_only_first_payments,n_orders_declined_last_month,total_value_last_month,tot_value_cancelled_orders,tot_value_not_cancelled_orders,defaulted_amount,max_delay_for_dc,total_outstanding_amount,revenue_vs_debt,total_revenue_paid,time_before_failed_,outstanding_dc_assets,outstanding_value,amount_percent,has_outstanding_assets,failed_percent,default_percent
69981,0.0,0,False,234.9,234.9,0,28,26,0,0,0.0,0.0,0.0,1019.5,0.0,0.0,0.0,-4709.0,4709.0,8.19,-1.0,-1.0,1.0,0,0.0,-1
83170,0.0,0,False,144.8,1023.7,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-958.8,958.8,-1.0,-1.0,-1.0,1.0,0,0.0,-1
175489,9.9,0,False,19.8,237.6,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-335.37,335.37,-1.0,-1.0,-1.0,1.0,0,0.0,-1
177953,19.9,0,False,69.8,837.6,263,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-790.27,790.27,-1.0,-1.0,-1.0,1.0,0,0.0,-1
477094,0.0,6,True,39.8,477.6,194,122,122,0,1,0.0,0.0,0.0,39.8,139.4,-3.92,139.4,732.2,39.8,1.1,2.0,911.4,0.04,1,0.75,1
255280,0.0,3,True,169.9,2038.8,452,315,315,0,1,0.0,59.9,0.0,229.8,524.7,-4.04,524.7,3129.1,169.9,1.39,1.0,3823.7,0.04,1,0.75,1
424211,189.4,0,False,189.4,2482.5,0,1,1,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1197.26,1197.26,-1.0,-1.0,-1.0,1.0,0,0.0,-1
568900,59.9,0,False,59.9,1078.2,0,3,3,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-239.6,239.6,-1.0,-1.0,-1.0,1.0,0,0.0,-1
352252,65.7,2,False,65.7,788.4,7,14,14,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,57.6,-708.2,765.8,1.16,-1.0,56.6,0.93,0,0.06,-1
103795,67.8,0,False,67.8,813.6,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-749.85,749.85,-1.0,-1.0,-1.0,1.0,0,0.0,-1
35760,29.9,0,False,112.7,1711.8,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-359.66,359.66,-1.0,-1.0,-1.0,1.0,0,0.0,-1
355759,39.8,0,False,69.7,328.5,0,1,1,0,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-602.86,602.86,-1.0,-1.0,-1.0,1.0,0,0.0,-1
